spec	filterThreshold	supportedICs	percsupportedICs	tech	support
Hv3	129	187318	60.7804	all_ONTonly_ICs	supported
Hv3	129	108336	90.7831	all_pacBio+ONT_ICs	supported
Hv3	129	77466	61.1645	novel_ICs	supported
Hv3	129	7308	73.1605	novel_pacBioOnly_ICs	supported
Hv3	129	46582	52.6428	novel_ONTonly_ICs	supported
Hv3	129	23576	83.674	novel_pacBio+ONT_ICs	supported
Hv3	129	27748	58.189	intergenic_ICs	supported
Hv3	129	1217	54.8693	intergenic_pacBioOnly_ICs	supported
Hv3	129	19275	53.5342	intergenic_ONTonly_ICs	supported
Hv3	129	7256	76.6776	intergenic_pacBio+ONT_ICs	supported
Hv3	12	370855	79.1414	all_ICs	supported
Hv3	12	36271	88.3043	all_pacBioOnly_ICs	supported
Hv3	12	222261	72.1186	all_ONTonly_ICs	supported
Hv3	12	112323	94.1241	all_pacBio+ONT_ICs	supported
Hv3	12	92274	72.8563	novel_ICs	supported
Hv3	12	8246	82.5508	novel_pacBioOnly_ICs	supported
Hv3	12	58741	66.3838	novel_ONTonly_ICs	supported
Hv3	12	25287	89.7466	novel_pacBio+ONT_ICs	supported
Hv3	12	35022	73.4429	intergenic_ICs	supported
Hv3	12	1605	72.3625	intergenic_pacBioOnly_ICs	supported
Hv3	12	25322	70.3291	intergenic_ONTonly_ICs	supported
Hv3	12	8095	85.5437	intergenic_pacBio+ONT_ICs	supported
Hv3	130	328864	70.1804	all_ICs	supported
Hv3	130	33394	81.3001	all_pacBioOnly_ICs	supported
Hv3	130	187159	60.7288	all_ONTonly_ICs	supported
Hv3	130	108311	90.7621	all_pacBio+ONT_ICs	supported
Hv3	130	77401	61.1131	novel_ICs	supported
Hv3	130	7304	73.1204	novel_pacBioOnly_ICs	supported
Hv3	130	46529	52.5829	novel_ONTonly_ICs	supported
Hv3	130	23568	83.6457	novel_pacBio+ONT_ICs	supported
Hv3	130	27713	58.1156	intergenic_ICs	supported
Hv3	130	1215	54.7791	intergenic_pacBioOnly_ICs	supported
Hv3	130	19247	53.4565	intergenic_ONTonly_ICs	supported
Hv3	130	7251	76.6247	intergenic_pacBio+ONT_ICs	supported
Hv3	131	328653	70.1354	all_ICs	supported
Hv3	131	33382	81.2708	all_pacBioOnly_ICs	supported
Hv3	131	186978	60.6701	all_ONTonly_ICs	supported
Hv3	131	108293	90.7471	all_pacBio+ONT_ICs	supported
Hv3	131	77314	61.0444	novel_ICs	supported
Hv3	131	7302	73.1004	novel_pacBioOnly_ICs	supported
Hv3	131	46454	52.4981	novel_ONTonly_ICs	supported
Hv3	131	23558	83.6102	novel_pacBio+ONT_ICs	supported
Hv3	131	27672	58.0296	intergenic_ICs	supported
Hv3	131	1215	54.7791	intergenic_pacBioOnly_ICs	supported
